mood,rms,zcr,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B,bpm
sad,0.12406659,0.05521160111003861,1440.1162803928005,2509.8236908783783,-170.8344,142.81053,-9.587067,9.68097,12.51499,2.547748,-7.843694,-6.134793,-11.528851,1.6335231,-15.569713,-4.188717,-15.06176,0.7241728,0.34445485,0.0843665,0.07034573,0.25395864,0.37223053,0.1990668,0.25306162,0.16304275,0.15356565,0.16074033,0.34696501,107.666015625
sad,0.0922237,0.04599835605694981,1019.4665183902113,1803.592826224662,-222.10922,181.89522,1.9733992,2.2934086,3.3678555,8.293416,-3.9941962,-2.3284404,-9.0973015,-2.6050878,-4.051389,-1.6881082,-4.3738523,0.67617786,0.25128326,0.28014612,0.2033239,0.20773256,0.31244993,0.19287649,0.15566064,0.34926397,0.5584348,0.2232384,0.32139102,107.666015625
sad,0.13998607,0.08332265021718147,1634.2635632025817,3058.712521114865,-157.95238,140.29704,-7.8400345,2.3584297,-4.0770216,8.225207,-11.949314,-7.525025,-12.569004,1.5418121,-13.35569,2.9729755,-13.976731,0.6091432,0.20855299,0.12594362,0.22454494,0.581962,0.29045406,0.120204516,0.18971089,0.16881514,0.21287896,0.1403805,0.31921297,117.45383522727273
sad,0.1767455,0.08797546151061776,1685.1444975935578,3049.9412742820946,-129.0943,133.77158,-17.138784,1.4838665,-1.501372,9.022885,-18.86979,-2.0571058,-10.597234,-1.6767715,-10.463251,-2.4873245,-14.396732,0.7096489,0.23876742,0.13959247,0.13998498,0.28105116,0.31466895,0.18766041,0.390664,0.24225011,0.1653886,0.15390413,0.32823133,123.046875
sad,0.1820083,0.07259365950772201,1367.184930671845,2444.143264358108,-129.58478,159.05981,-24.314268,-2.9687943,2.2777052,12.581036,-8.066482,5.88655,-7.319472,-1.4467202,-6.9384575,-0.8968593,-8.575527,0.55026543,0.30822316,0.24864909,0.25519198,0.2251746,0.185454,0.11832321,0.15116228,0.22319981,0.34150854,0.17758325,0.22481924,123.046875
sad,0.04847161,0.1085285201496139,2392.9534347954695,5189.501953125,-225.42369,74.71139,-4.1260595,-2.0777936,-22.780334,-14.476674,-14.110167,2.0701175,-16.749552,-13.146607,-16.222713,-1.0287492,-9.016096,0.4993159,0.22529985,0.21486816,0.120411225,0.1346272,0.28801647,0.14397897,0.42220733,0.19501098,0.15469584,0.21074252,0.16605327,184.5703125
sad,0.03659018,0.09383106599903475,2133.3922541696847,4556.3925253378375,-268.7966,84.2,-4.7352343,-1.156847,-24.590557,-14.6064415,-15.278245,2.8698876,-13.1358795,-14.270755,-18.675863,1.5197555,-2.0680153,0.5133659,0.3502722,0.36720318,0.22370224,0.10103988,0.09539727,0.07254176,0.2987378,0.15408577,0.20574915,0.33261845,0.19082412,198.76802884615384
sad,0.061062906,0.1304747828185328,2505.5853702605023,5356.69605152027,-180.1864,71.64485,-9.066705,1.7801964,-16.105013,-7.5509095,-9.350356,3.299136,-17.232666,-1.8374492,-18.733622,-4.306209,-8.161022,0.62292635,0.14182363,0.09088011,0.06077092,0.08226168,0.17127204,0.16432369,0.65054494,0.20032057,0.23533139,0.31297728,0.23260981,99.38401442307692
sad,0.04533626,0.11785676580598456,2377.8006900312184,5233.64917652027,-209.34296,79.81284,-2.2948413,3.2913458,-21.496449,-12.9580345,-14.362287,6.6506624,-12.133723,-13.064059,-17.946323,6.8761225,-6.2374234,0.6648779,0.33954003,0.32019743,0.21812418,0.14505924,0.21994574,0.109388754,0.29616725,0.15332322,0.18575425,0.32115543,0.22903283,172.265625
sad,0.0379709,0.10670170728764479,2300.928185121994,5103.493850295608,-248.29242,76.49554,0.8921477,3.4792683,-18.995083,-12.212085,-13.014518,2.9462817,-16.79063,-9.484407,-19.554077,-0.8806477,-5.861467,0.78599364,0.32082817,0.20815466,0.07926066,0.06879767,0.06362919,0.115241885,0.5965417,0.17605478,0.16347694,0.34643555,0.27627423,99.38401442307692
